product,marketing_name,brand,cpu,cpu_make,device,memory_mb
rosemary_p_tr,POCO M5s,POCO,MT6785,Mediatek,rosemary,6144
G100,GM 6 ds,GM,MT6739WW,Mediatek,G100,2048
WW_P00L,ZenPad 10 (Z301ML),asus,MT8735,Mediatek,ASUS_P00L_1,2048
C32_EEA,C32_EEA,OUKITEL,T606,Spreadtrum,C32,8192
a54xnstur,Galaxy A54 5G,samsung,s5e8835,Samsung,a54x,6144
ORBIT_Y21,ORBIT Y21,WALTON,T606,Spreadtrum,ORBIT_Y21,2048
CE7-GL,CAMON 16,TECNO,MT6769,Mediatek,TECNO-CE7,4096
jaws,Xiaomi TV Box S (2nd Gen),Xiaomi,AMLS905X4,Amlogic,jaws,2048
TB328XU_EEA,Lenovo Tab M10 (3rd Gen),Lenovo,SC1408AJ1,Socionext,TB328XU,3072
RH3,Primo RH3,WALTON,MT6737,Mediatek,Primo_RH3,2048
AMN-L22,HUAWEI Y5 2019,HUAWEI,MT6761,Mediatek,HWAMN-M,2048
P7PLUS,P7PLUS,PRITOM,A100,Allwinner,P7PLUS,2048
Rocky_MT1,Rocky_MT1,Edanix,MT6762,Mediatek,Rocky_MT1,6144
G501_D,GM 20 Pro,GM,MT6771,Mediatek,G501,6144
Black_X,Black_X,Kalley,MT6771T,Mediatek,Black_X,4096
F6318VC,itel Vision 3,Itel,SC9863A,Spreadtrum,itel-S661L,2048
degas2wifibmw,Galaxy Tab4 7.0,samsung,Exynos 7870,Samsung,degas2wifi,1536
MINERVA_32GB_EEA,MINERVA_32GB,Qubo,MT6739WA,Mediatek,MINERVA_32GB,3072
K7S,K7S,Surfans,A133,Allwinner,K7S,2048
h3gzc,Galaxy Note3,samsung,MSM8674,Qualcomm,hlte,3072
A130,A130,Acepad,SC9863A,Spreadtrum,A130,2048
CMR-AL19EEA,HUAWEI MediaPad M5 Pro,HUAWEI,KIRIN960,HiSilicon,HWCMR,4096
X671-GL,Infinix NOTE 12 5G,Infinix,MT6833V/PNZA,Mediatek,Infinix-X671,6144
m7_jp_kdi,J One,htc,APQ8064,Qualcomm,m7wlj,2048
VT1001,VT1001,VIRZO,T310,Spreadtrum,VT1001,2048
1811,vivo 1811,vivo,SDM439,Qualcomm,1811,3072
dreamlteldukx,Galaxy S8,samsung,Exynos 8895,Samsung,dreamlteskt,4096
WW_K01H,MeMO Pad 8 (ME581C),asus,Z3560,Intel,K01H,2048
falcon_perar,Moto G (1st Gen),motorola,MSM8626,Qualcomm,falcon_umts,2048
iPlay_40H,iPlay 40H,Alldocube,T618,Spreadtrum,T1020H,8192
YOUTAB_S7,YOUTAB_S7,YOUTAB,MT8168B,Mediatek,YOUTAB_S7,2048
C6903,Xperia Z1,Sony,MSM8974,Qualcomm,C6903,2048
X659-GL,HOT 10i,Infinix,MT6769,Mediatek,Infinix-X659,4096
a52qnsser,Galaxy A52,samsung,SM7125,Qualcomm,a52q,4096
M50Pro_EEA,M50Pro_EEA,Teclast,T616,Spreadtrum,M50Pro_EEA,8192
hltezt,Galaxy Note3,samsung,MSM8674,Qualcomm,hlte,3072
T1800Q_Plus,T1800Q＿Plus,PRIXTON,RK3126C,Rockchip,T1800Q_Plus,2048
h31,H-31,Opticon,SDM450,Qualcomm,h31,4096
cezanne,Redmi K30 Ultra,Redmi,MT6889,Mediatek,cezanne,6144
RMX3269EEA,realme C25Y,realme,T618,Spreadtrum,RED8F6,4096
