manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
My,Techwood,BODRUM_Techwood,finch,Android TV,t32,Mediatek,1536
My,Hyundai,BODRUM_Hyundai,finch,Android TV,t32,Mediatek,1536
My,JJohnson,BODRUM_JJohnson,finch,Android TV,t32,Mediatek,1536
My,Myros,BODRUM_Myros,finch,Android TV,t32,Mediatek,1536
My,Jvc,BODRUM_Jvc,finch,Android TV,t32,Mediatek,1536
My,Lenco,BODRUM_Lenco,finch,Android TV,t32,Mediatek,1536
My,Hitachi,BODRUM_Hitachi,finch,Android TV,t32,Mediatek,1536
My,Telefunken,BODRUM_Telefunken,finch,Android TV,t32,Mediatek,1536
My,Toshiba,BODRUM_Toshiba,finch,Android TV,t32,Mediatek,1536
My,Digihome,BODRUM_Digihome,finch,Android TV,t32,Mediatek,1536
My,Voxicon,BODRUM_Voxicon,finch,Android TV,t32,Mediatek,1536
Changhong,CHiQ,DVB94CQ,dundas,Smart TV,t32,Mediatek,1536
My,Edenwood,BODRUM_Edenwood,finch,Android TV,t32,Mediatek,1536
My,Medion,BODRUM_Medion,finch,Android TV,t32,Mediatek,1536
My,Nexson,BODRUM_Nexson,finch,Android TV,t32,Mediatek,1536
My,VoxElectronics,BODRUM_VoxElectronics,finch,Android TV,t32,Mediatek,1536
My,Champion,BODRUM_Champion,finch,Android TV,t32,Mediatek,1536
My,SEG,BODRUM_SEG,finch,Android TV,t32,Mediatek,1536
My,Tucson,BODRUM_Tucson,finch,Android TV,t32,Mediatek,1536
My,TurboX,BODRUM_TurboX,finch,Android TV,t32,Mediatek,1536
My,Cecotec,BODRUM_Cecotec,finch,Android TV,t32,Mediatek,1536
My,Electronia,BODRUM_Electronia,finch,Android TV,t32,Mediatek,1536
My,Sb,BODRUM_Sb,finch,Android TV,t32,Mediatek,1536
My,Elit,BODRUM_Elit,finch,Android TV,t32,Mediatek,1536
My,Atron,BODRUM_Atron,finch,Android TV,t32,Mediatek,1536
My,Prosonic,BODRUM_Prosonic,finch,Android TV,t32,Mediatek,1536
My,Salora,BODRUM_Salora,finch,Android TV,t32,Mediatek,1536
My,Daewoo,Bodrum_Daewoo,finch,Android TV,t32,Mediatek,1536
Changhong,EVEREST,ISDB94EV,dundas, Smart TV,t32,Mediatek,1536
My,Schontech,BODRUM_Schontech,finch,Android TV,t32,Mediatek,1536
My,Wellington,BODRUM_Wellington,finch,Android TV,t32,Mediatek,1536
My,Nilait,BODRUM_Nilait,finch,Android TV,t32,Mediatek,1536
